NUM=93
-123.3590 49.0211
-95.1422 48.9879
-95.1422 49.4193
-94.8578 49.4193
-94.5733 48.8800
-89.2214 48.1168
-88.3680 48.3325
-84.7231 46.8807
-82.3405 45.2795
-81.9316 43.4710
-82.4472 42.5584
-83.0695 42.1934
-82.5717 41.6873
-81.3093 42.2348
-79.0867 42.8156
-79.3179 43.5041
-78.8023 43.6452
-76.9353 43.6452
-75.0506 45.0638
-71.0679 45.2795
-69.4543 47.4614
-67.7786 47.3121
-66.6940 44.6656
-68.7387 43.6452
-69.8766 43.5373
-70.1611 42.8488
-69.5921 41.7620
-69.7699 41.1066
-71.4057 41.0734
-73.4682 40.4180
-75.6196 36.7843
-75.1751 35.3740
-76.4197 34.5361
-77.2732 34.3950
-77.8421 33.6981
-78.6220 33.5903
-79.3179 32.6860
-80.5803 31.9974
-81.0781 30.5041
-79.6557 26.8041
-79.8869 25.3854
-80.5803 24.5890
-82.1094 24.3733
-82.3939 24.5890
-81.4337 25.1698
-82.2161 26.0740
-83.1406 27.8577
-83.0695 28.7288
-84.0474 29.7824
-85.1853 29.4174
-86.4300 30.0313
-88.5991 29.9981
-88.8303 29.0191
-89.2748 28.8034
-90.9817 28.8698
-93.8798 29.4920
-96.5113 28.0402
-97.0803 26.8787
-96.9025 25.9662
-97.3648 25.7505
-99.3651 26.5137
-99.7473 27.5673
-101.4540 29.5999
-102.5920 29.5745
-103.0540 28.8698
-104.6900 29.6745
-105.0990 30.5056
-106.5750 31.6656
-108.1750 31.7403
-108.1750 31.3089
-111.1270 31.2342
-115.3410 32.5782
-117.3700 32.4597
-117.8480 33.2336
-118.7010 33.4825
-118.7540 33.6981
-119.9990 34.1378
-120.9060 34.3204
-121.0300 34.9757
-122.2210 36.1704
-122.2750 36.7843
-123.3590 37.8379
-123.4130 38.3523
-124.1060 38.8915
-124.2660 39.7626
-124.7820 40.4512
-124.3910 41.4716
-124.7820 42.8156
-124.4440 45.3210
-124.5510 47.1710
-125.1300 48.2246
-124.7820 48.5897
-123.4660 48.3657
